Portfolio,Ticker,Date,Open,High,Low,Close,Adj Close,Volume,Quantity,Market Value
Fund One,AAPL,10/19/2020,116.669998,118.709999,114.279999,115.040001,114.841873,274506600,8707.62531,1000000
Fund One,GOOGL,10/19/2020,1569.849976,1634.119995,1567.140015,1632.97998,1632.97998,6069100,612.3773789,1000000
Fund One,IBM,10/19/2020,116.660004,117.690002,112.980003,116,114.34198,21504500,8745.694276,1000000
Fund One,INTC,10/19/2020,53.139999,54.220001,47.66,48.200001,47.851948,160711200,20897.79083,1000000
Fund One,KO,10/19/2020,49.959999,51.200001,49.77,50.52,50.126961,46197900,19949.34423,1000000
Fund One,MSFT,10/19/2020,213.119995,216.919998,211.699997,216.229996,215.665375,63956000,4636.812933,1000000
Fund One,PG,10/19/2020,142.490005,144.339996,141.080002,142.380005,140.744873,14430700,7105.054548,1000000
Fund One,TSLA,10/19/2020,422.700012,445.230011,407.380005,420.630005,420.630005,106080700,2377.386273,1000000
Fund One,WMT,10/19/2020,143.839996,145.729996,142.690002,143.850006,143.326096,12332900,6977.096481,1000000
Fund One,XOM,10/19/2020,33.509998,35.080002,33.02,34.16,33.355255,87879900,29980.28347,1000000
Fund One,AAPL,10/26/2020,114.010002,117.279999,107.720001,108.860001,108.672516,684467100,8707.62531,946279.5508
Fund One,GOOGL,10/26/2020,1615,1681.319946,1508.47998,1616.109985,1616.109985,13109300,612.3773789,989669.1967
Fund One,IBM,10/26/2020,114.449997,114.900002,105.919998,111.660004,110.064018,37248500,8745.694276,962586.2522
Fund One,INTC,10/26/2020,47.849998,47.860001,43.610001,44.279999,43.960255,232935900,20897.79083,918672.2137
Fund One,KO,10/26/2020,50.34,50.509998,47.299999,48.060001,47.6861,79648600,19949.34423,951306.4237
Fund One,MSFT,10/26/2020,213.850006,216.339996,199.619995,202.470001,201.941315,193393800,4636.812933,936364.1011
Fund One,PG,10/26/2020,141.5,143.339996,134.679993,137.100006,136.278,32213300,7105.054548,968262.6237
Fund One,TSLA,10/26/2020,411.630005,430.5,379.109985,388.040009,388.040009,141543700,2377.386273,922520.9909
Fund One,WMT,10/26/2020,142.839996,143.699997,137.369995,138.75,138.244675,26182600,6977.096481,964546.4354
Fund One,XOM,10/26/2020,33.610001,33.77,31.110001,32.619999,31.851534,186634300,29980.28347,954918.0182
Fund One,AAPL,11/2/2020,109.110001,119.620003,107.32,118.690002,118.485588,609571800,8707.62531,1031728.105
Fund One,GOOGL,11/2/2020,1623.540039,1791.819946,1612.109985,1759.72998,1759.72998,10769100,612.3773789,1077618.833
Fund One,IBM,11/2/2020,112.650002,115.650002,111.160004,114.040001,112.409996,25467300,8745.694276,983103.4586
Fund One,INTC,11/2/2020,44.959999,46.380001,44.240002,45.389999,45.062241,170291300,20897.79083,941701.2866
Fund One,KO,11/2/2020,48.75,50.209999,48.240002,49.450001,49.065285,65119300,19949.34423,978820.26
Fund One,MSFT,11/2/2020,204.289993,224.360001,200.119995,223.720001,223.135818,161978000,4636.812933,1034639.047
Fund One,PG,11/2/2020,138.509995,144.070007,137.440002,143.229996,142.371246,29123000,7105.054548,1011555.469
Fund One,TSLA,11/2/2020,394,440,392.299988,429.950012,429.950012,145636400,2377.386273,1022157.257
Fund One,WMT,11/2/2020,140.589996,146.220001,139.029999,145.770004,145.239105,26772400,6977.096481,1013347.248
Fund One,XOM,11/2/2020,33.139999,34.490002,32.529999,32.779999,32.007767,177123100,29980.28347,959601.9278
Fund One,AAPL,11/9/2020,120.5,121.989998,114.129997,119.260002,119.260002,589577900,8707.62531,1038471.412
Fund One,GOOGL,11/9/2020,1795.97998,1816.890015,1716.119995,1772.26001,1772.26001,9225900,612.3773789,1085291.94
Fund One,IBM,11/9/2020,117.879997,119.739998,113.480003,116.849998,115.179832,30085400,8745.694276,1007327.597
Fund One,INTC,11/9/2020,46.639999,47.349998,44.549999,45.459999,45.459999,192969100,20897.79083,950013.5501
Fund One,KO,11/9/2020,52.5,54.299999,52.07,53.450001,53.034164,108020900,19949.34423,1057996.793
Fund One,MSFT,11/9/2020,224.440002,228.119995,209.720001,216.509995,215.944641,158095900,4636.812933,1001294.904
Fund One,PG,11/9/2020,146.149994,146.919998,137.149994,144.279999,143.414948,38171500,7105.054548,1018971.029
